question,answer
신발은 택비가 없어서 이것저것담았더니 택비가 붙더라구요 묶음배송이 안되는건가요?,"안녕하세요 고객님. 노는 개 최고양입니다. 
신발만 무료배송이고 다른 상품은 유료배송의 경우 택배비가 발생할 수 있는 점 참고 부탁드립니다. 감사합니다."
프리미엄은 뭔 차이인가요?,"안녕하세요 고객님. 노는 개 최고양입니다. 
프리미엄은 우선 커버 색상이 다르고 흡착반이랑 고정줄이 있습니다. 감사합니다."
"어제 발송 안되면 문자나 주던지 발송지연만 딱 올리시면 어쩌자는겁니까?
애기가 디스크 와서 급하게 주문한건데 뭐하자는겁니까?
빨리 취소 처리해주세요","1월 22일 11시 05분에 문자로 품절 안내드렸으며, 수신완료 내역 확인됩니다.
불편을 드려 죄송하며 취소 처리 도와드리겠습니다.
감사합니다. 새해 복 많이 받으세요"
사진에함께있는 칫솔걸이는 어디서 구매할수 잇나요?,"안녕하세요 고객님. 아르빙입니다. 
먼저 불편을 드려 정말 죄송합니다. 
칫솔 걸이는 지금 품절되어 출고가 불가하는 상황입니다. 
재입고는 2월 중순에 가능할거 같은데 괜찮으실까요?"
자석안되는 곳에 붙이려고하는데 후크 4개 주시나요?,"안녕하세요 고객님
문의주신 상품 자석이 없는 벽면에도 사용할수있게 후크 4개 동봉하여 발송해드리고있습니다!
감사합니다."
배송가능한가요?,"안녕하세요, 넵 배송가능합니다."
"안녕하세요. 최대한 냄새나지 않는 상품으로 요청드렸었는데,
상품 잘 사용 중이어서 추가 구매했습니다.
이번에도 최대한 냄새나지 않는 상품으로 잘 부탁드립니다.
주문번호 2025012397900611 입니다.","안녕하세요 고객님. 니뜰리히입니다. 
우선 상품을 재주문해주셔서 정말 정말 감사합니다. 
금일자로 좋은 제품으로 최대한 빠른 출고 도와드리겠습니다. 감사합니다."
원형가죽방석에 대한 설명이 없어서요. 리뷰도 없어서 구매하고싶은데 정보가 없네요,안녕하세요 고객님 니뜰리히입니다. 해당 제품은 이번에 출시되어 아직 상세페이지 제작중인 제품입니다. 현재 이미지 촬영은 완료되어 톡톡 주시면 이미지 전달드리도록 하겠습니다. 감사합니다.
크림색 재입고 일정 문의 드립니다,안녕하세요 고객님 니뜰리히입니다. 높은형 크림의 경우 빠르면 금일에서 늦어도 내일정도 입고될 것 으로 예상됩니다. 문의주셔서 감사합니다.
딥그린입고 언제되나요?,안녕하세요 고객님 니뜰리히입니다. 딥그린 색상의 경우 빠르면 금일에서 늦어도 내일정도 입고될 것 으로 예상됩니다. 문의주셔서 감사합니다.
"가죽 방석으로 32개 정도 필요합니다.
가격조절 조금 가능한가요
그리고 가죽 방석으로는 둥근모양만 있는거지요",안녕하세요 고객님 니뜰리히입니다. 문의주셔서 감사합니다. 계좌이체로 진행시 5%정도 할인이 가능하십니다. 다만 현재 2차입고분이 대부분 소진되어 원하시는 색상 말씀해주시면 해당 색상은 빠르게 재입고 도와드릴 수 있도록 하겠습니다. 가죽방석은 원형으로만 제작중에 있습니다.  추가문의는 010-5003-6206으로 연락주셔도 됩니다. 감사합니다.
"해당제품 미끄럼방지, 논슬립일까요?","안녕하세요 고객님. 니뜰리히입니다. 
우선 상품을 주문해주셔서 정말 감사합니다. 
해당 상품 밑에 바둑알 처럼 미끄럼방지 점이 있습니다."
흐린구름 시켰는데 제발 색상 맞게 보내주세요. 교환 귀찮습니다!!!,"안녕하세요 고객님. 니뜰리히입니다. 
불편을 드려 정말 죄송합니다. 
주문해주신 흐린구름이 재고 부족으로 인해 출고가 지연되고 있습니다. ㅠ
상품 재입고시 출고나 취소 처리 도와드려야 될거 같습니다. 
고객님께서 톡톡으로 답장 주시면 빠르게 처리 도와드리겠습니다."
"안녕하세요
주문번호 2025011990149121 입니다
냄새 최대한 나지 않는 제품으로 부탁드립니다","안녕하세요 고객님. 니뜰리히입니다. 
우선 상품을 주문해주셔서 정말 감사합니다. 
금일자로 좋은 상품으로 빠르게 출고 도와드리겠습니다."
"걸레 썩은 냄새가 납니다.
처음에 배송 받고  문앞에 두고 나갔다 왔는데 집에서 썩은내가 나길래 휴지통 다 비우고 난리 피다가 후기 보고서 방석이 원인이라는 걸 알았네요. 밤에 베란다에 놓고 하루가 지났는데 베란다가 섞은내 진동입니다. 어떻게 해야합니까?",안녕하세요 고객님 니뜰리히입니다. 메모리폼 재질 특성상 제조 과정으로 인해 냄새가 날 수 있습니다. 바람이 통하는 환경에서 1~2일 놔둬주시면 자연스럽게 냄새가 빠집니다. 감사합니다.
쿠션도 같이 있는건가요?커버만 있는건가요?,"안녕하세요, 해당 제품은 커버만 있는 제품입니다. 감사합니다."
안녕하세요 방석 밀림 현상 없을까요??,"안녕하세요 고객님 니뜰리히입니다. 사용하시는 곳의 재질의 마찰력에 따라 밀림이 있을 수도 있습니다. 만약 밀림이 걱정되실 경우 추가 미끄럼방지패드 혹은 미끄럼 방지 처리가 되어있는 바둑알방석, 구름방석 등을 추천드립니다. 감사합니다."
실제 옷이 걸리는 곳 길이가 몇인가요?,"안녕하세요 고객님 니뜰리히입니다. 60cm -> 38cm, 100cm ->77cm 입니다. 감사합니다."
오늘 주문했는데 언제 발송될까요?,"안녕하세요 고객님. 니뜰리히입니다. 
해당 상품 17일에 출고 도와드렸습니다. 감사합니다."
"네이버로 구매하는 것이 아닌 지마켓등 다른 사이트로 구매가 가능한가요??
a/s로 나와 있는 번호로 전화 하니 통화가 안되더군요","안녕하세요 고객님. 니뜰리히입니다. 
해당 상품 네이버 니뜰리히에서만 판매하고 있습니다. 감사합니다."
방석을 받았는데 방석 커버를 빨고 써야하나요? 빼서 세탁 가능한건가요?,안녕하세요 수령 후 그냥 사용하셔도 괜챃습니다. 커버는 벗겨서 세탁이 가능하십니다 :)
안녕하세요! 원형 메모리폼 방석 끈달린 제품은 없나요? 분명 끈달린 니뜰리히 원형 방석을 봤는데 혹시 이름이라도 알면 알려주시면 감사하겠습니다!,안녕하세요 고객님 니뜰리히입니다. 답변이 늦었습니다. 자사 제품중에는 끈달린 제품은 없습니다 ㅜ 아마 해당 사용주 분께서 직접 끈을 달아 사용하시지 않았을까 합니다. 도움드리지 못해 죄송합니다 ㅜ
안녕하세요 블랙 언제 재입고 될까요?,"안녕하세요, 고객님 니뜰리히입니다. 블랙색상 재입고중에 있으며 2주정도 소요될 것으로 예상됩니다. 감사합니다."
안녕하세요. 내일 꼭 받아야해서 부탁드립니다,"안녕하세요 고객님. 니뜰리히입니다. 
금일 바로 출고 도와드리겠습니다. 송장은 금일 18:00경 대량 등록시 같이 동록할 예정입니다. 감사합니다."
커버만 추가 구매 안되나요?,안녕하세요 고객님 니뜰리히입니다. 현재 커버만 별도로 판매하지는 않고 있습니다 ㅜ 도움을 드리지 못해 죄송합니다.
"바퀴는 따로 취급 안하나요?ㅜ
다리발 아랫면이 어떤식으로 돼있을까요?
피스로 바퀴 달 수 있을까요?","안녕하세요 고객님. 니뜰리히입니다. 
해당 상품 상세페이지에 참고 부탁드립니다. 
다리발 아래면이 미끄럼방지하는 마개가 있어서 따로 바퀴 달 수는 안될거 같습니다. 저희 측에서도 따로 바퀴 부품을 판매하지 않습니다. 
불편을 드려 정말 죄송합니다.  ㅠ"
의자가 40×40인데 바둑알방석으로 딱맞게 하는게 나은가요?아니면 일반메모리폼방석으로 35×35가 나을까요?^^;,안녕하세요 고객님 니뜰리히입니다. 의자 크기에 맞춰 구매하시는 걸 추천드립니다. 의자보다 방석이 작을경우 허벅지 부분 혹은 엉덩이 뒤쪽이 지지가 되지 않아 불편함을 느끼실 수 있습니다. 또한 바둑알 제품이 아래 미끄럼방지 처리가 되있어서 의자에 앉을때에도 미끄럼 없이 자세를 편하게 유지하실 수 있습니다. 감사합니다.
"27일 문의했을 때 바로 처리해 주신다고 했는데
아직도 택배사 전달 예정인데 언제까지 기다려야 할까요?","고객님. 니뜰리히입니다. 
배송이 많이 늦어져서 정말 죄송합니다. 
상품 받으신 후 톡톡으로 말씀해주시면 저희 측에서 페이백 도와드리겠습니다."
펌프를 해도 부풀어오르지 않아요,"안녕하세요 고객님. 니뜰리히입니다.
네이버 톡톡으로 영상이 불가하여 혹시 카카오톡으로 영상 보내주시면 저희 측에서 확인 후 빠르게 처리 도와드리겠습니다.
카카오톡--> 니뜰리히 검색--> 니뜰리히 채널 1:1 문의"
"상품 구매후 사용하는 중에 개인적으로 아쉬운 부분이 있어 글 남깁니다. 
나무 지지대 부분 간격을 좀더 넓히면 안정적으로 사용 할 수 있을 것 같아요. 매트가 가벼워서 그런지 지지대 쪽이 아닌 끝부분에 앉으면 기울어져서 넘어지거나 엎어져요. 이부분만 개선되면 정말 좋을 것 같아요. 
그리고 어느순간 부터 매트 한쪽부분만 툭 하고 올라와있는데 왜 그런건가요? ㅠ","안녕하세요 고객님. 니뜰리히입니다. 
우선 상품의 부족한 부분을 말씀해주셔서 정말 장말 감사합니다. 앞으로 상품 생산하는 공장이랑 소통하여 개선하겠습니다. 
고객님께서 매트가 한쪽부분만 올라와있는 사진 찍어서 톡톡으로 보내주시면 저희 측에서 확인 후 빠르게 처리 도와드리겠습니다. 감사합니다."
사장님 핑크두개했는데 색상핑크랑딥그레이로 하나씩변경좀해주세요,"안녕하세요 고객님. 니뜰리히입니다. 
해당 상품 저희 창고랑 연락하여 아직 출고전이면 변경 출고 도와드리겠습니다. 감사합니다."
높은형 베이지는 언제쯤 주문할 수 있나요?,"안녕하세요 고객님. 니뜰리히입니다. 
문의 하신 상품 다음 주 재입고 예정이 있어서 다음 주 주문 가능할거 같습니다. 감사합니다."
"대표님 안녕하세요 
아마존크립토 (crypto-amazon) MD 차주호 입니다

저희 아마존크립토가 이번에 국내 진출을하면서 
다양한 한국 판매자 분들을 모집하고 있습니다. 

모집분야는

1. 위탁판매자 
미국 아마존에 입점된 제품중 위탁가능한 약 5만가지 제품을 
썸네일 및 상세페이지 제공 최첨단 시스템으로 
버튼 한번으로 위탁판매 등록이 가능
(판매시 판매가 대비 약 20% 수익 가능)


2. 본인제품판매자 
기존에 본인이 판매 하고 있던 제품을 등록 판매가 가능합니다
(낮은 판매수수료 3%) 


3. 도매가격으로 본인제품 공급할 판매자 
(국내 외 다양한 판매자에게 
본인제품 도매가격으로 공급할 판매자- 별도문의)


아마존 크립토 판매자 참고사항 

1. 초기 별도 가입비 0원 
다양한 지원으로 타 플랫폼 대비 판매율이 높습니다. 

2. 네이버와 동일한 빠른 정산주기 
배송완료후 14일(구매확정시 익일바로 정산가능)

3. 판매자분마다 전담 MD 배정해드리며 
12월 가입자에 한해 
200$ 상당의 시크릿S AI광고 쿠폰을 선물로 드립니다. 

카톡문의 
아이디 : wnghek5037
010-4807-1496 번호추가 후 카톡주세요
(해당번호는 카카오톡 전용 번호입니다)
E-mail :  jooho-cha@crypto-amazon.com",.
계속 배송 준비 중이라고 뜨는데 언제쯤 받을 수 있을까요?,안녕하세요 고객님 니뜰리히입니다. 송장의 배송진행 내역이 없는거보니 창고측에서 송장이 분실 됬거나 집하중 문제가 있는 것 같습니다 ㅜ 해당 내용 확인 후 월요일에 다시 빠르게 발송해드리도록 하겠습니다. 번거롭게 해드려 죄송하다는 말씀드립니다 ㅜ
"이물질 있는사진 톡톡드렸는데, 답변이 없어서 상품큐엔에이에 재문의드린겁니다ㅠ
톡톡확인후답변이나 유선전화를주세요. 전화연결시도하니 꺼져있다고만 나오네요
또한 주말에 사용해야되니, 톡톡확인후 내일 금요일 다른상품출고 후 회수가능한가요?","안녕하세요 고객님. 니뜰리히입니다. 
먼저 불편을 드려 죄송합니다. 
톡톡 내용과 같이 금일 재출고 도와드리겠습니다. 
오염된 상품은 포장 상태에 문 앞에 놓주시면 감사하겠습니다."
네 그럼 취소 안하고 발송해주세요,네네 고객님. 금일자로 출고 도와드리겠습니다. 감사합니다!!
"문자로 품절이라고 오고 네이버에 발송지연사유도 품절이라고 입력을 해놓으셨던데
문의글 답변에는 내일 발송가능하다고 하시면.. 뭐가 맞는건가요?","창고측에서 해당 제품을 찾지 못하여 문자와 네이버에 품절이라고 고지하였으나, 직접 실재고 확인 결과 제품이 확인됐습니다.
내일 발송 가능한 것이 맞습니다. 혼선을 드려 죄송합니다.
감사합니다."
품절이라고 해서 취소 처리 해주시면 됩니다,"안녕하세요. 니뜰리히입니다. 

이용에 불편을 드려 죄송합니다. 창고에서 재고 확인 결과, 주문하신 상품 확인되어 명일 (12/27 금요일) 출고 가능합니다.
취소 처리를 원하시면 주문 취소 요쳥하시면 처리 도와드리겠습니다.
추가로 궁금하신 사항이 있으시면 언제든 문의해 주세요.

감사합니다. 좋은 하루 보내세요."
오늘상품수령했는데 옵션1번 40센치 핑크색방석커버에 이물질이 묻어있어 톡톡문의드렸는데 답변없고 유선통화 어려워 문의글 남깁니다. 빠른유선연락주세요,"안녕하세요. 니뜰리히입니다. 

먼저, 상품에 이물질이 묻어 있는 상태로 배송되어 불편을 끼쳐 드린 점 진심으로 사과드립니다. 고객님께서 남겨주신 문의 확인 후 신속히 처리해 드리겠습니다.
이물질이 묻어 있는 부분을 확인할 수 있는 사진을 톡톡으로 보내주시면 확인 후 바로 처리하겠습니다.
교환을 원하실 경우 새 상품을 신속히 발송하며, 반품을 원하실 경우 환불을 진행하겠습니다.
고객님의 소중한 의견과 문제 해결을 위해 최선을 다하겠습니다.
다시 한번 불편을 끼쳐 드린 점 사과드리며 빠르게 해결해 드릴 수 있도록 노력하겠습니다.

감사합니다."
"냄새가 너무 심해서 2주동안 베란다에 둿는대도 냄새가 안빠져요
교환이나 반품 바랍니다","안녕하세요. 니뜰리히입니다. 

이용에 불편을 드려 죄송합니다. 상품의 강한 냄새로 인해 불편을 겪으셨다니 많이 당황하셨을 것 같습니다.
상품의 냄새는 제조 및 포장 과정에서 발생할 수 있으며, 통풍이 잘 되는 곳에 일정 기간 두면 점차 사라지는 경우가 많습니다.
하지만 고객님께서 2주 동안 환기에도 불구하고 문제가 지속되고 있으므로, 교환 또는 반품 신청하시면 처리 도와드리겠습니다.
네이버 톡톡으로 주문번호와 구매한 사이트 알려주시면 감사하겠습니다.
다시 한번 불편을 끼쳐 드려 죄송합니다. 앞으로 더 좋은 서비스와 상품으로 보답하겠습니다.

감사합니다. 좋은 하루 보내세요."
민트는 언제재입고되나요??,"안녕하세요 고객님. 니뜰리히입니다. 
먼저 불편을 드려 정말 죄송합니다.. 
문의하신 상품 빠르면 내일 늦어도 다음 주 화요일에 재입고되어 늦어도 다음 주 화요일에 출고 도와드릴 수 있습니다. 감사합니다."
"그럼 다시 주문할께요
확인하고 보내주세요~
똑같은거 한개있는데
아이들이 같은거 2개 다시 원해서
꼭 보내주세요^^","안녕하세요 고객님. 니뜰리히입니다. 
먼저 불편을 드려 정말 죄송합니다. 
해당 상품 금일자로 꼭 출고 도와드리겠습니다. 감사합니다!!!"
바둑알 높은형 지름을 알 수 있을까요?!🙏🏻🙏🏻🙏🏻,안녕하세요 고객님 니뜰리히입니다. 바둑알 방석은 낮은형 높은형 둘다 40cm입니다! 감사합니다.
"바둑알 낮은걸로
35cm은 없나요?
구매못하나요?",안녕하세요 넵 바둑알 방석의 경우 40cm만 있습니다. 35cm의 경우 원형방석과 격자가죽방석 구매 가능하십니다. 감사합니다.
"화이트그레이 대형 제품이 아예 없다는건가요?
판매자측에서 상품취소했는데요
그럼 옵션에도 선택을 못하게 해놔야지
지금도 선택할수있잖아요
화이트그레이 대형을 살수있다는거에요?
없다는거에요?",안녕하세요 고객님 니뜰리히입니다. 먼저 불편을 드려 죄송합니다. 현재 해당 제품이 전산에 재고가 쫌 남아있는것으로 확인되고 있습니다. 입고된지 얼마 되지 않아 재고가 있을걸로 추측됩니다만 창고측에서 해당 제품을 찾지를 못해 우선적으로 구매하신 고객님들께는 취소로 안내드리고 있는 상황입니다.
"식탁벤치 의자가 35인데 
바둑알 쿠션은 40인데 더 큰건가요?","안녕하세요 고객님. 니뜰리히입니다.
원형방석은 35cm 40cm 두가지 사이즈가 있으며 바둑알방석보다 더 폭신폭신하는 상품입니다.
바둑알 방석은 전체 40cm 상품이며 높은형과 낮은형이 있스며 밑에 미끄럼방지하는 바둑알이 있습니다. 원형방석보다 약간 딱딱하지만 지지력과 탄력성이 더 좋은상품입니다."
"1번,2번중 주문하고 싶은데
차이점이 무엇인지 설명좀 부탁드립니다 
잘 모르겠어요😥","안녕하세요 고객님. 니뜰리히입니다.
원형방석은 35cm 40cm 두가지 사이즈가 있으며 바둑알방석보다 더 폭신폭신하는 상품입니다. 
바둑알 방석은 전체 40cm 상품이며 높은형과 낮은형이 있스며 밑에 미끄럼방지하는 바둑알이 있습니다. 원형방석보다 약간 딱딱하지만 지지력과 탄력성이 더 좋은상품입니다."
사각형 두께가 정확히 얼마인가요 30T 로 나온 것도 있고 40T 로 명시된 것도 있네요,"안녕하세요 고객님. 니뜰리히입니다. 
사각방석의 두께가 4cm 정도 됩니다. 감사합니다."
토요일에 써야되서 오늘 출하 꼭 좀 부탁드립니다ㅠㅠㅠㅠ,네 고객님 금일 출고 도와드리도록 하겠습니다 감사합니다
텐트랑 같이 구매예정인데 메쉬가 있는건가여? 따로 구매 해야하나요?,"안녕하세요 고객님. 수비다입니다. 
먼저 불편을 드려 정말 죄송합니다. 
저희 수비다 에어텐트 상품이 재고 소진되어 재입고 예정이 없어서 주문이 불가하는 점 양해 부탁드립니다. ㅠㅜ"
오늘 물건을 받았는데 혹시 반품되거나 이상있는 물건이 온거처럼 박스가 찌그러지고 제대로 잠겨있지도않고 뭔가..좀..  새상품 맞나요?,"안녕하세요 고객님. 수비다입니다. 
저희 측에서 새상품만 출고 하고 있는데 혹시 받으신 상품 사진 한번 찍어서 톡톡으로 보내주실 수 있을까요? 저희 측에서 확인 후 빠르게 답변드리겠습니다."
"안녕하세요
아코디언접이식의자와 같이 구매하는데 배송비가 건건히 붙네요.
같이 해서 한번만 붙게 해주시면 안될까요",안녕하세요 고객님 주문해주시면 배송비 페이백 도와드리겠습니다
어디가 순면침낭이라는건지 모르겠네,"안녕하세요. 고객님
문의주신 내용 잘 이해가 안돼서 조금 더 구체적으로 문의 주시면 답변 드리겠습니다.
감사합니다."
코끼리 의자 무게 알려주세요.,900g입니다 고객님 감사합니다
혹시 원쁠딜 기간 내에는 회전방석 재입고 안되나요,안녕하세요 고객님 해당 제품 현재 주문 가능하게 설정하였습니다 감사합니다
방석은 품절로 뜨는데 언제 입고되나요??,안녕하세요 고객님 해당 제품 현재 주문 가능하게 설정하였습니다 감사합니다
오트밀베이지 우 언제 구매가능한가요?,고객님 지금 구매 가능하십니다~ 구매해주시면 배송 도와드리도록 하겠습니다 감사합니다!
결제했는데 안전하게 배송해주세요,"안녕하세요, 고객님

소중한 주문 안전하게 포장하여 빠르게 배송해드리겠습니다.
받으시는 동안 만족스러우실 수 있도록 최선을 다하겠습니다. 추가로 궁금한 사항이 있으시면 언제든 문의해주세요. 😊

감사합니다!"
코끼리의자 무게가 얼마나 될까요?,900g입니다 고객님 감사합니다
"수비다 에어텐트 쉘터본체 구입 하려는데
현재 품절 상품에 있는 도킹 우레탄창(단독구매)제품이랑
추가상품
타프쉘 도킹창
우레탄창 80000원 제품이랑 다른 건가요?
아니면 쉴터 본체 상품 구입하고 추가 상품에 우레탄창 8만원 제품 선택하면 입구모기장이랑 우레탄창 다 있나요?",안녕하세요 고객님! 해당 제품은 현재 품절이라서 구매하실 수 없는 점 참고 부탁드리겠습니다 ㅠㅠ 감사합니다!
"M400 오트밀베이지 그린 (우, 스펙에 나온 사진) 제고가 있나요? 이번주 수요일 저녁에 배송 받을수 있을까요?","안녕하세요 고객님. 수비다입니다. 
문의하신 상품 현제 샌드카키 (좌) 애쉬그레이(좌) 만 재고 있어서 출고가 가능합니다. 상품 출고 후 택배사 상황에 따라 1~3일 정도 걸릴 수 있는 점 참고 부탁드립니다. 감사합니다."
"대표님 안녕하세요 
아마존크립토 (cryto-amazon) MD문상현 입니다

저희 아마존크립토에서 위탁판매자를 모집하고 있습니다. 

아마존물류창고에 있는 제품중 위탁판매가 가능한 제품 
약 7만여개가 저희 아마존크립토 플랫폼에 등록되어 있습니다.

이 제품중 대표님께서 판매하고 싶은 제품을 
저희 플랫폼내 대표님 전용스토어에 등록하시면 되고,
썸네일+상세페이지를 클릭한번으로 등록할수 있습니다. 

대표님께서 판매에만 집중 할 수 있도록 
배송관리 및 CS도 본사에서 진행해드립니다. 

1월 31일까지 신규 가입자에 한해서 
200$ 상당의시크릿 AI리타겟팅 광고쿠폰(인스타, 유튜브.틱톡.페이스북.왓츠앱 등 최대효율 광고 시스템)도 
제공해드리고 있으며 

초기 가입비 및 사용료 0원이지만 
현재 타 플랫폼 대비 매출이 매우 좋은편입니다.
(판매시 건당 판매가 대비 약 20% 수익 가능)

또한 모든 입,출금에 대한 계산서 발행이 가능하며
전담 MD를 배정해드리고 있습니다.

정산주기또한 배송완료후 최대 14일로 
빠르기때문에 위메프티몬 사태처럼 정산에 문제가 생기지 않습니다 판매자 등급에 따라  
배송후 바로 정산(빠른정산) 도가능합니다.

초보자 분들도 손쉽게 하실수 있도록 셋팅되어있으며 대형판매자 노하우 및 운영방법도 공유 해드리겠습니다

가입 및 문의는 아래 카카오톡으로 연락주시기 바랍니다

문상현MD 카카오톡:hun846
문상현MD 카카오톡:hun846

아이디 추가후 메세지 부탁드립니다

참고 E-mail :hun846@crypto-amazon.com


회사 소개서 및 이용방법 안내해드리겠습니다",확인하겠습니다 감사합니다
M400 오트밀베이지 (우) 아직 품절로 뜨는데 밑에 분 답글보니 들어온것 같은데... 입고됐나요?? 12월말부터 입고 기다렸는데 들어온거면 구매할 수 있게 품절 풀어주세요.,"안녕하세요 정말 죄송합니다, 해당 제품 저희가 다음주중에 추가 여분이 입고되어서 다음주에 구매 가능할 예정이십니다 다음주에 재고 풀어드리도록 하겠습니다 감사합니다"
안녕하세요 주말에 주문했습니다 급하게 주문하는 건데 오늘 발송됐나요?,안녕하세요 고객님 해당 제품 어제자로 배송 된걸로 확인되어 집니다 감사합니다
발쪽만 따로 오픈 가능한가요?,네네 고객님. 발쪽만 따로 오픈 가능합니다!!
